amenity,price_with,price_without,premium,prevalence
hot_tub,345.0,213.45999999999998,131.54000000000002,0.07094105480868666
dryer,229.0,145.0,84.0,0.8945191313340227
kitchen,228.5,150.0,78.5,0.9207859358841779
washer,237.41500000000002,160.0,77.41500000000002,0.8355739400206825
heating,226.07999999999998,150.0,76.07999999999998,0.9211995863495347
free_parking,235.58499999999998,171.0,64.58499999999998,0.81282316442606
pool,273.0,213.2,59.80000000000001,0.11789038262668046
air_conditioning,229.0,174.5,54.5,0.8653567735263702
self_checkin,231.06,179.0,52.06,0.75511892450879
pets_allowed,249.0,196.95,52.05000000000001,0.39110651499482935
wifi,221.0,182.59,38.41,0.9803516028955532
ev_charger,255.33,218.125,37.20500000000001,0.03702171664943123
workspace,219.87,220.375,-0.5049999999999955,0.6827300930713547
