feature,importance
room_type,0.17244958240608654
host_is_superhost,0.14900661356460232
minimum_nights,0.14060866395146682
n_amenities,0.05441439846284424
accommodates,0.048453069305775004
amen_self_checkin,0.046836440104043475
price,0.036479079192330066
bedrooms,0.030110658079156194
neighbourhood_cleansed,0.02640321430262063
amen_heating,0.00933004873719169
amen_ev_charger,0.008074329433592958
bathrooms,0.004686645833730879
amen_dryer,0.003033813855991996
amen_air_conditioning,0.002412500093683656
amen_pets_allowed,0.0020768712959815805
amen_kitchen,0.001070557063440336
amen_workspace,0.0009094532053137427
amen_hot_tub,0.0004667679704412897
amen_free_parking,0.0004603642526688073
amen_washer,0.00019978024151712237
amen_wifi,8.971253893129416e-05
is_entire_home,0.0
amen_pool,-0.0006721217435440574
