feature,importance
accommodates,0.27534880558724245
minimum_nights,0.1605962443457292
room_type,0.11617331737687318
bathrooms,0.09839115191416546
n_amenities,0.05403810623980717
bedrooms,0.05362236925879823
neighbourhood_cleansed,0.03892498186046498
amen_pets_allowed,0.01043337792022588
amen_workspace,0.006925960996627937
amen_kitchen,0.005105510633461874
amen_hot_tub,0.005085616075600412
amen_self_checkin,0.004189717066462632
amen_free_parking,0.004129103411053696
amen_dryer,0.004014528284494094
amen_pool,0.0033862008358605347
amen_air_conditioning,0.0031660718145950693
host_is_superhost,0.0030574192617997173
amen_ev_charger,0.002809449790739845
amen_washer,0.0027311750646154356
amen_heating,0.0014735558075983184
amen_wifi,0.0007751455863486689
is_entire_home,0.0
